,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,75,84,9,75,2.0,0.0,False
1,1,129,129,-888,-888,27.0,0.0,False
2,2,200,212,12,116,-29.0,29.0,True
3,3,264,270,6,52,30.0,29.0,False
4,4,281,308,27,11,0.0,29.0,False
5,5,546,552,6,238,-10.0,39.0,True
6,6,923,939,16,371,-20.0,59.0,True
7,7,1130,1132,-888,-888,40.0,59.0,False
8,8,1593,1601,8,654,-40.0,99.0,True
9,9,1910,1910,-888,-888,32.0,99.0,False
10,10,2095,2106,11,494,-15.0,114.0,True
11,11,2703,2710,7,597,-12.0,126.0,True
12,12,2867,2867,-888,-888,27.0,126.0,False
13,13,2946,2952,6,236,-7.0,133.0,True
14,14,3187,3197,10,235,-7.0,140.0,True
15,15,3468,3490,22,271,-15.0,155.0,True
16,16,3580,3580,-888,-888,29.0,155.0,False
17,17,4070,4076,6,580,-5.0,160.0,True
18,18,4328,4346,18,252,-9.0,169.0,True
19,19,4518,4528,10,172,-15.0,184.0,True
20,20,4583,4584,-888,-888,27.0,184.0,False
21,21,4810,4833,23,282,-27.0,211.0,True
22,22,4872,4878,6,39,34.0,211.0,False
23,23,4974,4981,7,96,-36.0,247.0,True
