,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,43,51,8,43,37.0,0.0,False
1,1,164,173,9,113,-25.0,25.0,True
2,2,318,321,3,145,0.0,25.0,False
3,3,360,366,6,39,-12.0,37.0,True
4,4,374,375,-888,-888,39.0,37.0,False
5,5,862,871,9,496,-25.0,62.0,True
6,6,1377,1386,9,506,-12.5,74.5,True
7,7,1389,1397,8,3,44.5,74.5,False
8,8,2218,2229,11,821,-44.0,118.5,True
9,9,2238,2362,124,9,23.0,118.5,False
10,10,3061,3069,8,699,-20.0,138.5,True
11,11,3120,3126,6,51,-4.0,142.5,True
12,12,3134,3135,-888,-888,33.0,142.5,False
13,13,3364,3375,11,238,-32.0,174.5,True
14,14,3500,3513,13,125,9.0,174.5,False
15,15,3886,3893,7,373,-12.0,186.5,True
16,16,3895,3905,10,2,45.0,186.5,False
17,17,4067,4076,9,162,-17.0,203.5,True
18,18,4365,4372,7,289,-25.0,228.5,True
19,19,4478,4478,-888,-888,30.0,228.5,False
20,20,4731,4758,27,359,-9.0,237.5,True
21,21,5100,5107,7,342,-18.0,255.5,True
22,22,5304,5380,76,197,0.0,255.5,False
23,23,5388,5392,4,8,40.0,255.5,False
24,24,5544,5549,5,152,-12.0,267.5,True
25,25,5836,5850,14,287,-12.0,279.5,True
26,26,6183,6188,5,333,-19.0,298.5,True
27,27,6198,6198,-888,-888,27.0,298.5,False
28,28,7074,7084,10,886,-30.0,328.5,True
29,29,7201,7201,-888,-888,21.0,328.5,False
30,30,7948,7960,12,864,-11.0,339.5,True
31,31,8071,8081,10,111,4.0,339.5,False
