,index,startTime,endTime,holdingTime,interval,changeAmount,accumAmount,drink
0,0,4,8,4,4,120.5,0.0,False
1,1,19,27,8,11,-37.5,37.5,True
2,2,41,46,5,14,-83.0,120.5,True
3,3,60,65,5,14,451.0,120.5,False
4,4,76,82,6,11,-370.0,490.5,True
5,5,142,145,3,60,311.0,490.5,False
6,6,153,157,4,8,-319.0,809.5,True
7,7,255,256,1,98,-27.0,836.5,True
8,8,258,280,22,2,122.0,836.5,False
9,9,443,443,-888,-888,-29.0,836.5,False
10,10,450,451,1,170,-111.0,947.5,True
11,11,453,453,-888,-888,29.0,947.5,False
